wave,flux,err,fit_all,fit_stell
1276.55,0.506426,0.427348,0.8591286873107902,7.494547126217810
1276.73,0.336125,0.427702,0.8136836210501794,7.096453364461766
1276.90,0.678801,0.513509,0.7529614229431145,6.565340040612007
1277.08,0.850774,0.513863,0.7981817088747973,6.958009962931456
1277.26,0.851203,0.514218,0.8609755114240237,7.503653888042535
1277.44,0.766326,0.514586,0.8616521632795321,7.507802991523562
1277.61,0.853373,0.514981,0.8632462822553075,7.519938075130227
1277.79,0.767687,0.429430,0.8735487925213353,7.607914201100783
1277.97,0.939921,0.429813,0.8677623627785883,7.555757738409923
1278.14,0.510027,0.344105,0.8175739732245108,7.117101557984853
1278.32,0.596486,0.430407,0.8093279438868413,7.043678611417050
1278.50,0.252943,0.344580,0.8635012296195368,7.513406815754223
1278.68,0.253287,0.344758,0.8590010036246026,7.472511984868063
1278.85,0.512483,0.345116,0.8040662339034887,6.993004946037736
1279.03,0.944234,0.518084,0.8190415101868112,7.121588433895631
1279.21,1.03013,0.518283,0.8774630026825815,7.627791875897103
1279.38,0.857694,0.518682,0.8882743779890869,7.719982792085347
1279.56,0.858430,0.519219,0.8834699858223858,7.676444528069055
1279.74,1.37878,0.692646,0.8828953516465203,7.669670785861300
1279.91,1.20681,0.606323,0.8828668839674404,7.667641180391271
1280.09,1.03586,0.520116,0.8835337282207908,7.671652465349041
1280.27,0.690692,0.433847,0.8829475067979077,7.664782724114886
1280.45,0.778359,0.520889,0.8758436875117438,7.601352247343854
1280.62,0.431598,0.434327,0.8730608633786362,7.575443526083433
1280.80,0.432587,0.434715,0.8805029913873667,7.638246513936096
1280.98,0.955716,0.522183,0.8756078560267273,7.594021661884852
1281.15,1.30410,0.609505,0.8502133435818080,7.372071867757839
1281.33,1.13029,0.522697,0.8432697215995725,7.310169396214164
1281.51,0.520862,0.348749,0.8539291197488913,7.400858573052290
1281.68,0.521490,0.349111,0.8556862520867770,7.414371703385029
1281.86,1.04523,0.524022,0.8526105892025732,7.386012547157577
1282.04,1.39438,0.611625,0.8409116626357145,7.282980652711402
1282.22,1.39419,0.611987,0.8268358841107432,7.159417231495468
1282.39,1.21960,0.524981,0.8513458025695927,7.369938676491046
1282.57,0.869245,0.437741,0.8792427325143752,7.609676265713958
1282.75,0.781735,0.438104,0.8731294266695701,7.555020586561241
1282.92,0.694537,0.438468,0.8677156258608467,7.506440057295791
1283.10,0.957804,0.526448,0.8667934154619460,7.496731441775182
1283.28,1.13373,0.526852,0.8647155534514734,7.477033221013869
1283.45,0.958144,0.527257,0.8595284994763169,7.430467261175622
1283.63,0.958029,0.527648,0.8499300465382557,7.345793512847635
1283.81,0.782173,0.528012,0.8339075400218849,7.205651247840009
1283.99,1.13464,0.616492,0.8099764402677998,6.997253141552356
1284.16,0.870976,0.528687,0.7776830573921515,6.716726129044154
1284.34,0.606752,0.440821,0.7918809260388862,6.837773165689406
1284.52,0.519486,0.353072,0.8342992006884090,7.202387712770104
1284.69,0.519588,0.353255,0.8544466144941626,7.374618824501681
1284.87,0.607850,0.353438,0.8674916287858966,7.485482480132106
1285.05,0.342616,0.353806,0.8538814048882254,7.366344694001057
1285.23,0.607638,0.442526,0.8351085333385139,7.202735916666114
1285.40,0.695776,0.531307,0.8570721229352922,7.390469512967471
1285.58,0.784963,0.531673,0.8729818486432347,7.525924369231817
1285.76,0.519845,0.443321,0.8303282869476092,7.156564927301403
1285.93,0.609612,0.443688,0.7979013467594617,6.875495669321424
1286.11,0.788612,0.444057,0.8096015152460653,6.974712827586018
1286.29,0.878796,0.533145,0.8270804381668576,7.123655594803353
1286.46,0.702146,0.444548,0.8565906579064149,7.376129480689727
1286.64,1.05907,0.533971,0.8715696345146343,7.503390517639758
1286.82,1.23703,0.534381,0.8695488159559488,7.484274161582974
1287.00,1.50370,0.623757,0.8753816394561655,7.532748564635952
1287.17,0.790462,0.445881,0.8879183442068337,7.638873664762670
1287.35,0.732654,0.462427,0.8655977051904167,7.445138313793663
1287.53,0.879679,0.522099,0.8265996260599850,7.108080054799551
1287.70,1.65231,0.790140,0.8450255470167923,7.264860224017127
1287.88,1.61964,0.833721,0.8767860871572321,7.536184221560418
1288.06,1.26353,0.714964,0.8475109766784037,7.282887815789906
1288.23,0.788359,0.596364,0.8128157170517462,6.983142869547578
1288.41,0.550337,0.382607,0.8517003878853583,7.315535330519737
1288.59,0.670520,0.502353,0.8825095015847038,7.578428305727442
1288.77,0.432661,0.383267,0.8716833763897859,7.483746474129717
1288.94,1.03159,0.598014,0.8618921876001767,7.397991880963318
1289.12,0.912891,0.478764,0.8553176416179107,7.339879657112178
1289.30,1.03330,0.598841,0.8565834017043783,7.349059570613122
1289.47,0.555263,0.479425,0.8707345030678282,7.468760402720036
1289.65,0.675707,0.599670,0.8753388889326740,7.506536499085215
1289.83,0.676585,0.600168,0.8686766236988218,7.447701921137920
1290.01,0.916895,0.720578,0.8705671151600199,7.462206135551696
1290.18,0.916915,0.721077,0.8783129120275563,7.526880583263335
1290.36,0.754180,0.579449,0.8816384094059623,7.553653092545247
1290.54,0.817272,0.519945,0.8833270962267994,7.566391410089992
1290.71,0.639170,0.369924,0.8801651850613077,7.537586791662946
1290.89,0.442291,0.452464,0.8758583478592852,7.498991222035414
1291.07,0.171421,0.452839,0.8388886542848860,7.180823268357642
1291.24,0.262126,0.543689,0.8013747097005131,6.858141457227447
1291.42,0.624784,0.544065,0.8170817603792714,6.990968177109423
1291.60,1.07921,0.635235,0.8342372560958761,7.136125031140708
1291.78,1.35224,0.635612,0.8589485186606076,7.345830341596795
1291.95,1.44398,0.635989,0.8757188297582243,7.487546060043314
1292.13,0.899318,0.454596,0.8673638155820877,7.414419930389116
1292.31,0.717863,0.454973,0.8653096560814574,7.395176546350640
1292.48,0.354020,0.364249,0.8737263847644686,7.465408285890760
1292.66,0.536323,0.455603,0.8779061411724134,7.499414793667356
1292.84,0.445380,0.455980,0.8770100123825416,7.490055124855616
1293.01,0.627557,0.547461,0.8590222576288824,7.334762458798835
1293.19,0.627560,0.547839,0.8291761736850043,7.078310752212047
1293.37,0.627373,0.548218,0.8373455149448616,7.146425244501827
