wave,flux,err,fit_all,fit_stell
1061.52,0.423159,0.205830,0.8187311927389481,2.344441085293139
1061.71,0.320540,0.205992,0.8229962010238302,2.356304252777292
1061.89,0.286350,0.171772,0.8349638360801173,2.390214078201609
1062.08,0.389992,0.206347,0.8299208834445184,2.375425558427983
1062.26,0.596933,0.240948,0.7732823360709782,2.212984986363227
1062.44,0.769580,0.309965,0.6668373590229478,1.908089008935322
1062.63,0.804724,0.310201,0.5754562287256444,1.646367165664855
1062.81,0.874387,0.310446,0.5740643531608998,1.642141507497127
1063.00,0.943837,0.310682,0.6661714642999078,1.905337053925236
1063.18,0.944605,0.310935,0.7848847325743777,2.244540315881773
1063.37,0.841839,0.311172,0.8713823217653572,2.491529395801871
1063.55,0.877445,0.311409,0.9179756181190082,2.624364234440886
1063.74,0.982330,0.311646,0.9390544643008779,2.684229118086057
1063.93,1.11021,0.332295,0.9435616106819936,2.696714372976696
1064.11,1.38388,0.357506,0.9397377509793586,2.685388655014801
1064.30,1.35579,0.356891,0.9368615233601839,2.676774069392028
1064.48,1.26176,0.310016,0.9391840402273131,2.683014369038378
1064.66,1.05625,0.284443,0.9443838510162316,2.697487044296585
1064.84,0.979641,0.258789,0.9483036333452632,2.708283745488331
1065.03,1.05823,0.284891,0.9482975273191290,2.707867113950754
1065.22,1.11109,0.285129,0.9418147108708013,2.688959001661521
1065.40,1.11179,0.285312,0.9253403053312302,2.641533794910683
1065.59,1.16466,0.285558,0.9008367429373410,2.571205360010028
1065.77,1.08783,0.285804,0.8807332881035054,2.513455549477464
1065.96,1.14064,0.312002,0.8778927085639613,2.504980035462617
1066.14,0.881249,0.286207,0.8917146827739030,2.544045191202326
1066.33,0.856002,0.286453,0.9109381961619326,2.598507301933756
1066.51,0.961204,0.286700,0.9267146538460305,2.643121845955204
1066.69,1.22279,0.312981,0.9368625697600976,2.671688973929071
1066.88,1.17156,0.287105,0.9399485204403523,2.680095388831968
1067.06,1.06822,0.287353,0.9343237088834461,2.663665741834562
