wave,flux,err,fit
841.711,0.588825,0.393470,-1349.093836835767
841.885,0.587515,0.404491,-1344.926856913115
842.060,0.711641,0.389990,-1340.759452340355
842.234,0.499138,0.376106,-1336.592259858205
842.408,0.497913,0.374071,-1332.424965284302
842.582,0.369505,0.385440,-1328.257770787486
842.757,0.535336,0.371277,-1324.090363036383
842.931,0.616841,0.396026,-1319.923277900237
843.105,0.614699,0.395544,-1315.755871975786
843.279,0.571393,0.370058,-1311.588789259941
843.454,0.446091,0.357216,-1307.421595804505
843.628,0.402994,0.355872,-1303.254194400757
843.802,0.441997,0.299086,-1299.086897293518
843.977,0.359807,0.297456,-1294.919597804518
844.151,0.317703,0.320438,-1290.752407300233
844.325,0.315767,0.318496,-1286.585001304818
844.499,0.436559,0.305826,-1282.417704833332
844.674,0.475469,0.347929,-1278.250407484397
844.848,0.393403,0.371424,-1274.083215698358
845.022,0.631798,0.394441,-1269.915919339005
845.197,0.908974,0.380980,-1265.748300868895
845.371,0.828409,0.392297,-1261.581001189424
845.545,0.745721,0.415396,-1257.413490143537
845.719,0.623208,0.402674,-1253.246191040466
845.894,0.858780,0.366252,-1249.078785756668
846.068,0.738824,0.390494,-1244.911165729613
846.242,0.696894,0.365548,-1240.743653758642
846.417,0.499404,0.340547,-1236.576249309359
846.591,0.458984,0.315612,-1232.408843178599
846.765,0.262714,0.302847,-1228.241436495765
846.939,0.261878,0.301422,-1224.074030902300
847.114,0.376381,0.312301,-1219.906520324800
847.288,0.452541,0.311511,-1215.739007911758
847.462,0.490243,0.322501,-1211.571497560387
847.637,0.411572,0.333235,-1207.403665576375
847.811,0.409863,0.308280,-1203.236152083047
847.985,0.332444,0.318616,-1199.068425305985
848.159,0.406890,0.306936,-1194.900696925455
848.334,0.329964,0.328591,-1190.733183176602
848.508,0.631336,0.327081,-1186.565885190529
848.682,0.516689,0.349409,-1182.398159405803
848.857,0.628602,0.347845,-1178.230435738570
849.031,0.476134,0.358458,-1174.062710360783
849.205,0.512365,0.323708,-1169.895198185206
849.380,0.399145,0.323678,-1165.727472835993
